Occupation,ANZSCO code,Industry,Type
flower grower,121212,Agriculture and Environmental,STSOL
grape grower,121215,Agriculture and Environmental,STSOL
vegetable grower (Aus)/market gardener (NZ),121221,Agriculture and Environmental,STSOL
apiarist,121311,Agriculture and Environmental,STSOL
poultry farmer,121321,Agriculture and Environmental,STSOL
sales and marketing manager,131112,Finance and Accounting,STSOL
advertising manager,131113,Business,STSOL
corporate services manager,132111,Business,STSOL
finance manager,132211,Finance and Accounting,STSOL
human resource manager,132311,Business,STSOL
research and development manager,132511,Business,STSOL
manufacturer,133411,Business,STSOL
production manager (forestry),133511,Engineering,STSOL
production manager (manufacturing),133512,Engineering,STSOL
production manager (mining),133513,Engineering,STSOL
supply and distribution manager,133611,Engineering,STSOL
health and welfare services managers (nec),134299,Community and Personal Care,STSOL
school principal,134311,Education,STSOL
education managers (nec),134499,Education,STSOL
ICT project manager,135112,ICT and Computer Science,STSOL
ICT managers (nec),135199,ICT and Computer Science,STSOL
laboratory manager,139913,Engineering,STSOL
quality assurance manager,139914,Engineering,STSOL
specialist managers (nec) except:,139999,Engineering,STSOL
cafe or restaurant manager,141111,Hospitality,STSOL
hotel or motel manager,141311,Hospitality,STSOL
accommodation and hospitality managers (nec),141999,Hospitality,STSOL
customer service manager,149212,Hospitality,STSOL
conference and event organiser,149311,Hospitality,STSOL
transport company manager,149413,Business,STSOL
facilities manager,149913,Business,STSOL
music professionals (nec),211299,Arts,STSOL
photographer,211311,Arts,STSOL
book or script editor,212212,Arts,STSOL
"director (film, television, radio or stage)",212312,Arts,STSOL
film and video editor,212314,Arts,STSOL
program director (television or radio),212315,Arts,STSOL
stage manager,212316,Arts,STSOL
technical director,212317,Arts,STSOL
video producer,212318,Arts,STSOL
copywriter,212411,Arts,STSOL
newspaper or periodical editor,212412,Arts,STSOL
print journalist,212413,Arts,STSOL
technical writer,212415,Arts,STSOL
television journalist,212416,Arts,STSOL
journalists and other writers (nec),212499,Arts,STSOL
company secretary,221211,Business,STSOL
commodities trader,222111,Business,STSOL
finance broker,222112,Finance and Accounting,STSOL
insurance broker,222113,Finance and Accounting,STSOL
financial brokers (nec),222199,Finance and Accounting,STSOL
financial market dealer,222211,Finance and Accounting,STSOL
stockbroking dealer,222213,Finance and Accounting,STSOL
financial dealers (nec),222299,Finance and Accounting,STSOL
financial investment adviser,222311,Finance and Accounting,STSOL
financial investment manager,222312,Finance and Accounting,STSOL
recruitment consultant,223112,Business,STSOL
ICT trainer,223211,ICT and Computer Science,STSOL
mathematician,224112,Engineering,STSOL
gallery or museum curator,224212,Arts,STSOL
health information manager,224213,Medicine,STSOL
records manager,224214,Business,STSOL
librarian,224611,Arts,STSOL
organisation and methods analyst,224712,Business,STSOL
patents examiner,224914,Business,STSOL
information and organisation professionals (nec),224999,Business,STSOL
advertising specialist,225111,Business,STSOL
marketing specialist,225113,Business,STSOL
ICT account manager,225211,ICT and Computer Science,STSOL
ICT business development manager,225212,ICT and Computer Science,STSOL
ICT sales representative,225213,ICT and Computer Science,STSOL
public relations professional,225311,Arts,STSOL
